cohort,coin,observations,coverage_pct,first_observation_utc,last_observation_utc,hours_stale_at_cutoff,positive_hours_pct,negative_hours_pct,simple_cumulative_funding_1x_pct,constant_2x_funding_pct_of_starting_equity,annualized_arithmetic_mean_1x_pct
core_crypto,HYPE,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,86.4351851852,13.5648148148,2.1620633900,4.3241267800,8.7683681928
core_crypto,HYPER,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,55.5092592593,44.4907407407,-7.9305576000,-15.8611152000,-32.1628169333
core_crypto,IMX,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,80.7407407407,19.2592592593,0.2733971600,0.5467943200,1.1087773711
core_crypto,INIT,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,72.5000000000,27.5000000000,0.1383570500,0.2767141000,0.5611147028
core_crypto,INJ,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,62.1759259259,37.8240740741,-0.6589171300,-1.3178342600,-2.6722750272
core_crypto,IO,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,57.0833333333,42.9166666667,-4.7838044900,-9.5676089800,-19.4009848761
core_crypto,IOTA,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,78.1944444444,21.8055555556,0.2800776000,0.5601552000,1.1358702667
core_crypto,JTO,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,52.5925925926,47.4074074074,-5.3061059100,-10.6122118200,-21.5192073017
core_crypto,JUP,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,67.0370370370,32.9629629630,-0.2453352600,-0.4906705200,-0.9949707767
core_crypto,KAITO,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,52.0833333333,47.9166666667,-2.3458813400,-4.6917626800,-9.5138521011
core_crypto,KAS,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,86.6666666667,13.3333333333,1.4312699100,2.8625398200,5.8045946350
core_crypto,LAYER,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,63.1018518519,36.8981481481,-13.6899103100,-27.3798206200,-55.5201918128
core_crypto,LDO,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,95.6944444444,4.3055555556,2.3922982200,4.7845964400,9.7020983367
core_crypto,LINK,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,93.7500000000,6.2500000000,2.3174717900,4.6349435800,9.3986355928
core_crypto,LTC,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,87.2685185185,12.7314814815,1.8385658800,3.6771317600,7.4564060689
core_crypto,MANTA,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,88.4259259259,11.5740740741,1.3221083800,2.6442167600,5.3618839856
core_crypto,ME,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,61.1111111111,38.8888888889,-7.7730149900,-15.5460299800,-31.5238941261
core_crypto,MELANIA,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,95.0925925926,4.9074074074,2.1194040900,4.2388081800,8.5953610317
core_crypto,MEME,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,78.1018518519,21.8981481481,-0.5942600600,-1.1885201200,-2.4100546878
core_crypto,MERL,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,67.7314814815,32.2685185185,-1.8439321500,-3.6878643000,-7.4781692750
core_crypto,MINA,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,55.6944444444,44.3055555556,-3.2485678100,-6.4971356200,-13.1747472294
core_crypto,MNT,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,95.3703703704,4.6296296296,3.0602986800,6.1205973600,12.4112113133
core_crypto,MOODENG,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,75.0925925926,24.9074074074,0.0631462900,0.1262925800,0.2560932872
core_crypto,MORPHO,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,75.9259259259,24.0740740741,0.5061472000,1.0122944000,2.0527080889
core_crypto,MOVE,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,57.6388888889,42.3611111111,-10.1391923000,-20.2783846000,-41.1200576611
core_crypto,NEAR,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,94.4444444444,5.5555555556,3.0204567300,6.0409134600,12.2496300717
core_crypto,NEO,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,84.4444444444,15.5555555556,1.2303682200,2.4607364400,4.9898266700
core_crypto,NIL,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,89.8148148148,10.1851851852,-0.1756177000,-0.3512354000,-0.7122273389
core_crypto,NOT,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,74.4907407407,25.5092592593,0.1226630600,0.2453261200,0.4974668544
core_crypto,NXPC,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,92.1296296296,7.8703703704,2.1182685600,4.2365371200,8.5907558267
core_crypto,ONDO,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,84.1666666667,15.8333333333,1.6563670600,3.3127341200,6.7174886322
core_crypto,OP,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,55.6944444444,44.3055555556,-1.5720132300,-3.1440264600,-6.3753869883
core_crypto,ORDI,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,83.2407407407,16.7592592593,1.4854634000,2.9709268000,6.0243793444
core_crypto,PAXG,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,86.8055555556,13.1944444444,1.8665977300,3.7331954600,7.5700907939
core_crypto,PENDLE,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,90.3240740741,9.6759259259,1.9324841200,3.8649682400,7.8372967089
core_crypto,PENGU,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,70.1851851852,29.8148148148,0.6206390400,1.2412780800,2.5170361067
core_crypto,PEOPLE,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,93.0092592593,6.9907407407,2.1627089300,4.3254178600,8.7709862161
core_crypto,PNUT,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,73.5648148148,26.4351851852,0.7156916700,1.4313833400,2.9025273283
core_crypto,POL,2160,100.0000000000,2026-04-03T11:00:00+00:00,2026-07-02T10:00:00+00:00,0.0000000000,63.9351851852,36.0648148148,-1.3940419800,-2.7880839600,-5.6536146967
